Word,Frequency
concerned,4
complicated,7
regret,8
alienated,1
disconcerting,1
belated,1
issue,28
mistake,1
weakness,1
excuse,2
concern,4
lack,2
difficult,4
susceptible,1
innuendo,1
rumor,3
mislead,1
fear,7
awkward,1
abrupt,1
problem,7
unfortunate,2
break,1
weaknesses,1
impossible,1
unequal,1
fall,2
anxious,3
strained,1
dull,1
lose,5
anxiety,1
hard,3
omission,1
decline,9
grudging,1
losers,1
reluctantly,1
reject,1
delay,8
unwillingness,2
impose,2
rejection,1
risks,1
alienation,3
negative,2
shocking,1
rape,1
outsider,1
death,1
suffered,1
audacity,1
contend,1
refuse,1
strange,1
mad,1
suspect,1
broken,1
cons,2
dick,2
hurt,2
problems,5
weak,1
retreat,1
strain,1
bad,3
hamper,1
confusing,1
distorted,1
revolt,2
disappointments,1
redundant,1
bother,1
badly,2
vexing,1
inevitably,1
discrimination,1
guilt,1
terribly,1
intense,1
ragged,1
controversy,1
moot,1
wrong,1
warned,1
fail,1
jeopardy,1
bent,1
damaged,1
dark,1
issues,3
perfunctory,1
risk,1
demise,1
negate,1
burden,2
militancy,2
denied,1
discouragement,1
denying,1
trivial,1
false,1
posturing,1
worry,1
failure,1
thorny,2
racist,1
error,1
sorry,1
seriousness,1
lost,5
inevitable,1
declines,1
pretend,1
fallen,1
irresponsible,1
doubt,1
troubled,1
reluctance,1
grievously,1
troubling,1
difficulties,1
struggle,1
sharply,1
eccentricity,1
perplexing,1
inconsequential,1
